brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
Dodge,Power Ram 1500,2007,1000,,,Used,,,,,200000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/49/49d887f5-a0ae-4146-adc3-0a8bae109c26?rule=kijijica-640-jpg,,
Porsche,Cayenne,2011,18000,,,Used,,,,,199000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b0b19e0-2bc1-401e-b8d4-009ff02f1d55?rule=kijijica-640-jpg,,
GMC,Sierra 1500,2019,56990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,84000,,1GTU9FEL5KZ407307,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/37/37cb9c4c-c078-4b39-a03e-a454b055f7eb?rule=kijijica-640-jpg,,
Hyundai,Santa Fe,2016,25749,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84442,,KM8SNDHF0GU135083,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0c/0c4d2239-3fb8-47ee-a76b-fdbe36891a7d?rule=kijijica-640-jpg,,
Honda,Ridgeline,2019,35900,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,115815,,5FPYK3F56KB506249,https://media.kijiji.ca/api/v1/autos-prod-ads/images/57/57e97906-8bf1-4873-8a63-5d47ede61604?rule=kijijica-640-jpg,,
Kia,Optima,2019,17999,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,159423,,5XXGT4L38KG275913,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f2/f2a7357a-9662-4ba1-ad3d-916050518926?rule=kijijica-640-jpg,,
Ram,1500,2013,17899,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,136292,,1C6RR7GT2DS558830,https://media.kijiji.ca/api/v1/autos-prod-ads/images/77/771009ef-2489-487f-8d96-feb3644c8480?rule=kijijica-640-jpg,,
alfaromeo,Sport,2018,29990,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,ZASFAKPN4J7C20102,83629,,PA0102,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/915012cd-a600-4980-9d61-a44a58699214?rule=kijijica-640-jpg,,
Nissan,Altima,2011,3300,Grey,,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,235000,,1N4AL2AP7BC132389,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ad/ad3dbfba-6fa1-4764-a3f4-0618db101407?rule=kijijica-640-jpg,,
Land Rover,Discovery,2019,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/1b/1b6e6d84-858d-445e-aeb9-19da0889d809?rule=kijijica-640-jpg,,
Mazda,3,2021,25988,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,,,
Toyota,Venza,2009,11999,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,185000,,,,,
GMC,Yukon,2019,64500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,53000,,,,,
Jaguar,F-Pace,2020,49990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,,
Chevrolet,Silverado 1500,2014,12500,Pickup Truck,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,197000,,,,,
Jeep,Grand Cherokee,2019,35920,Black,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG3KC649231,96614,,S29231,,,
Toyota,Corolla,2009,0,,,Used,,,,,250000,,,,,
Jeep,Wrangler Unlimited,2024,69240,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN5RW170289,,,
Jeep,Wrangler Unlimited,2024,61155,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN7RW165550,,,
Jeep,Wrangler,2024,69945,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG7RW177782,,,
Jeep,Wrangler Unlimited,2024,68835,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN1RW170287,,,
Jeep,Wrangler Unlimited,2024,61155,Other,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN9RW165551,,,
Jeep,Wrangler,2024,70445,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG9RW177783,,,
Hyundai,Elantra,2017,16877,Black,,Used,Sedan,Other,Gasoline,KMHD84LF0HU308321,139996,,S18321,,,
Land Rover,Range Rover Sport,2007,12500,,,Used,,,,,135000,,,,,
Chevrolet,Cruze,2015,12282,White,,Used,Sedan,Other,Automatic,Gasoline,108380,,1G1PC5SB4F7224673,,,
Dodge,Journey,2017,23489,Grey,,Used,"SUV, Crossover",Other,Gasoline,3C4PDDFG8HT610046,887400,,S10046,,,
Ram,1500,2016,29877,Black,,Used,Pickup Truck,Other,Gasoline,1C6RR7MT5GS137130,147500,,N442816A,,,
Chevrolet,Other,2015,10998,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Electric,78364,,KL8CL6S00FC704459,,,
Jeep,Wrangler,2019,42877,White,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXEN9KW596951,100247,,PA6951,,,
Jeep,Grand Cherokee,2021,57491,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJKDGXM8127286,65097,,PA7286,,,
Audi,A6,2014,23890,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,,,
Mitsubishi,Outlander,2023,51999,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,17728,,JA4T5UA98PZ615155,,,
Toyota,RAV4,2017,26749,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,,
Honda,Civic,2017,39899,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,,,
Hyundai,Elantra,2020,20987,Grey,,Used,Sedan,Other,Gasoline,KMHD84LF9LU956782,92572,,PA6782,,,
Honda,CR-V,2018,27924,Red,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H54JH106022,125220,,PA6022,,,
Volkswagen,Tiguan,2015,6000,"SUV, Crossover",,Used,,,,,198860,,,,,
Nissan,Leaf,2016,13951,Silver,,Used,Hatchback,Other,Electric,1N4AZ0CP0GC306472,79638,,S16472,,,
Kia,Sorento,2020,33987,Blue,,Used,"SUV, Crossover",Other,Gasoline,5XYPHDA51LG704523,70916,,N620645A,,,
Jeep,Wrangler,2019,39877,Grey,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXDG9KW628591,95581,,S18591,,,
Ford,Edge,2022,41204,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,29851,,2FMPK4K98NBA49508,,,
ALC-35868,,White,20790,,,,,,,,0,,,,,
Nissan,Leaf,2016,13951,Silver,,Used,Hatchback,Other,Electric,1N4AZ0CP0GC306472,79638,,S16472,,,
Jeep,Wrangler,2018,29995,Black,,Used,"SUV, Crossover",Other,Gasoline,1C4BJWEG5JL801358,120540,,S26469A,,,
Jeep,Wrangler,2016,31987,Grey,,Used,Convertible,4 x 4,Manual,Gasoline,43667,,1C4AJWAG5GL263576,,,
GMC,Sierra 1500,2015,16500,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,203350,,,,,
Toyota,Sienna,2018,31990,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,118104,,5TDZZ3DC0JS960145,,,
Hyundai,Kona,2021,27413,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,72297,,KM8K3CA58MU623758,,,
Hyundai,Tucson,2019,24995,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,158547,,KM8J3CA45KU002395,,,
Ford,Mustang,2018,44999,Coupe (2 door),,Used,,,,,59000,,,,,
Porsche,911,2008,65996,Yellow,,Used,Convertible,Other,Manual,Gasoline,68000,,WP0CB29938S776644,,,
Honda,CR-V,2018,27924,Red,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H54JH106022,125220,,PA6022,,,
Volkswagen,Tiguan,2015,6000,"SUV, Crossover",,Used,,,,,198860,,,,,
Jeep,Cherokee,2022,48400,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,5889,,1C4PJMBX2ND555416,,,
Chrysler,PT Cruiser,2005,9995,Silver,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,102633,,3C3AY75S65T621919,,,
Ram,1500,2019,43547,Other,,Used,Pickup Truck,Other,Automatic,Gasoline,99330,,1C6SRFJT2KN501690,,,
Hyundai,Elantra,2020,20987,Grey,,Used,Sedan,Other,Gasoline,KMHD84LF9LU956782,92572,,PA6782,,,
Jeep,Wrangler,2023,62399,Silver,,Used,Convertible,4 x 4,Automatic,Hybrid-Electric,23189,,1C4JJXP62PW535956,,,
Ford,Explorer,2017,22900,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,166484,,1FM5K8F87HGA38593,,,
Jeep,Cherokee,2022,38900,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,16611,,1C4PJMBX0ND545192,,,
Chrysler,Pacifica,2021,31998,White,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,94467,,2C4RC1BG7MR583144,,,
Ford,Bronco II,2022,65941,Orange,,Used,"SUV, Crossover",4 x 4,Gasoline,1FMEE5DP6NLB57562,19341,,P6198A,,,
Lexus,RX,2022,51990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,21600,,2T2HZMDA6NC318894,,,
Nissan,Rogue,2021,29999,White,,Used,"SUV, Crossover",Other,Gasoline,5N1AT3BB7MC741824,84659,,C16851,,,
Land Rover,Other,2017,25853,Black,,Used,"SUV, Crossover",Other,Gasoline,SALCT2BGXHH646386,108569,,N240984A,,,
Chrysler,Other,2022,47888,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,24708,,2C4RC1ZG8NR133851,,,
Jeep,Cherokee,2019,27999,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,133953,,1C4PJMBXXKD334657,,,
Honda,Civic,2017,39899,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,,,
Hyundai,Santa Fe,2021,32555,Silver,,Used,"SUV, Crossover",Other,Gasoline,5NMS3DAJXMH353964,83202,,PA3914,,,
Hyundai,Kona,2021,31900,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,17011,,KM8K2CAA1MU633404,,,
Land Rover,Range Rover Sport,2019,55995,Other,,Used,"SUV, Crossover",Other,Diesel,SALWR2RK9KA826710,125001,,N437881A,,,
Ford,F-150,2018,22995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,235128,,1ftfw1e52jfd05677,,,
Chrysler,Pacifica,2021,31998,Silver,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,81166,,2C4RC1BG0MR583048,,,
Ford,Edge,2022,41995,Grey,,Used,"SUV, Crossover",Other,Gasoline,2FMPK4K9XNBA69114,49588,,PA9114,,,
Land Rover,Range Rover,2017,48990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,117021,,SALGS2FE7HA364809,,,
Ford,F-250,2016,39900,Red,,Used,Other,4 x 4,Automatic,Gasoline,92561,,1FT7W2B63GEC35659,,,
Ford,Escape,2013,10900,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,287447,,1FMCU9J94DUB18260,,,
Jeep,Grand Cherokee,2022,62975,Grey,,Used,"SUV, Crossover",4 x 4,Hybrid-Electric,1C4RJYB69N8734715,9958,,U3618,,,
Chevrolet,Corvette,2023,126996,Red,,Used,Convertible,Other,Automatic,Gasoline,5000,,1G1YB3D48P5137706,,,
Mazda,Mazda3 Sport,2014,10494,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,180807,,JM1BM1L79E1189504,,,
Hyundai,Santa Fe,2021,32799,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75249,,5NMS3DAJ5MH355699,,,
Ford,F-150 Raptor,2022,93157,Blue,,Used,Pickup Truck,Other,Automatic,Gasoline,15660,,1FTFW1RG7NFC41184,,,
Ford,EcoSport,2020,24749,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,47561,,MAJ6S3KL4LC383379,,,
Jaguar,F-Type,2020,60990,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,,
Chevrolet,Equinox,2020,29990,Black,,Used,"SUV, Crossover",Other,Gasoline,2GNAXYEX7L6191309,76171,,PL1309,,,
Chrysler,Town & Country,2015,10995,White,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Other,201098,,2c4rc1bg2fr501856,,,
Toyota,Corolla,2022,29850,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,13000,,,,,
Honda,HR-V,2017,23999,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,112110,,3CZRU6H54HM101298,,,
Audi,A5,2018,36500,Grey,,Used,Hatchback,Automatic,Gasoline,,62000,,,,,
Nissan,Sentra,2021,26499,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,74000,,3N1AB8CV5MY254791,,,
GMC,Yukon,2019,64500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,53000,,,,,
Jaguar,F-Pace,2020,49990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,,
Hyundai,VENUE,2021,24725,Blue,,Used,"SUV, Crossover",Other,Automatic,Gasoline,74278,,KMHRC8A32MU101878,,,
Mazda,3,2021,25988,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,,,
Acura,TLX,2015,21749,Blue,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,104575,,19UUB3F78FA804228,,,
Hyundai,Elantra,2023,33990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,5252,,KMHLN4AG5PU476860,,,
Cadillac,CT5,2020,37900,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,44551,,1G6DT5RK4L0124242,,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,,
Volkswagen,Tiguan,2016,17999,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,129155,,WVGJV7AX2GW508077,,,
Mazda,3,2018,20995,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,98571,,JM1BN1W34J1168835,,,
Other,Other,2022,24900,Other,,Used,Other,Other,Other,5ZT22CKEC6NY02222,1,,,,,
GMC,Sierra 1500,2019,20500,Silver,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,192376,,2gtv2lec5k1107069,,,
Chevrolet,Silverado 1500,2020,44995,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,,
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35234,,5TDFZRBH6MS126163,,,
Nissan,Rogue,2016,17995,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,115040,,5N1AT2MV4GC804416,,,
Chevrolet,Express,2021,43999,White,,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,67887,,1GCWGBFP1M1189506,,,
Mercedes-Benz,GL-Class,2012,19870,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,140000,,,,,
Toyota,Venza,2009,11999,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,185000,,,,,
Lincoln,Mark LT,2007,5000,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,,280000,,,,,
Jeep,Wrangler Unlimited,2024,68835,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN1RW170287,,,
Chevrolet,Silverado 1500,2014,12500,Pickup Truck,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,197000,,,,,
Jeep,Grand Cherokee,2019,35920,Black,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG3KC649231,96614,,S29231,,,
Toyota,Corolla,2009,0,,,Used,,,,,250000,,,,,
Jeep,Wrangler Unlimited,2024,69240,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN5RW170289,,,
Jeep,Wrangler Unlimited,2024,61155,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN7RW165550,,,
Jeep,Wrangler,2024,69945,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG7RW177782,,,
Jeep,Wrangler Unlimited,2024,61155,Other,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN9RW165551,,,
Jeep,Wrangler,2024,70445,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG9RW177783,,,
Hyundai,Elantra,2017,16877,Black,,Used,Sedan,Other,Gasoline,KMHD84LF0HU308321,139996,,S18321,,,
Land Rover,Range Rover Sport,2007,12500,,,Used,,,,,135000,,,,,
Chevrolet,Cruze,2015,12282,White,,Used,Sedan,Other,Automatic,Gasoline,108380,,1G1PC5SB4F7224673,,,
Dodge,Journey,2017,23489,Grey,,Used,"SUV, Crossover",Other,Gasoline,3C4PDDFG8HT610046,887400,,S10046,,,
Ram,1500,2016,29877,Black,,Used,Pickup Truck,Other,Gasoline,1C6RR7MT5GS137130,147500,,N442816A,,,
Chevrolet,Other,2015,10998,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Electric,78364,,KL8CL6S00FC704459,,,
Jeep,Wrangler,2019,42877,White,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXEN9KW596951,100247,,PA6951,,,
Jeep,Grand Cherokee,2021,57491,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJKDGXM8127286,65097,,PA7286,,,
Audi,A6,2014,23890,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,,,
Mitsubishi,Outlander,2023,51999,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,17728,,JA4T5UA98PZ615155,,,
Toyota,RAV4,2017,26749,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,,
Ford,Escape,2017,19749,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,139300,,1FMCU9J93HUE40619,https://media.kijiji.ca/api/v1/autos-prod-ads/images/21/21b5f631-fe1c-4890-b12a-9b101a03cc88?rule=kijijica-640-jpg,,
Subaru,BRZ,2023,36986,Blue,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,7155,,JF1ZDBE15P9703257,https://media.kijiji.ca/api/v1/autos-prod-ads/images/16/1611a230-c116-48de-9705-2eefb08de9bb?rule=kijijica-640-jpg,,
Nissan,Rogue,2019,23995,Blue,,Used,"SUV, Crossover",Other,Gasoline,5N1AT2MV9KC741712,123873,,S11712,https://media.kijiji.ca/api/v1/autos-prod-ads/images/10/10f86308-e051-4c85-af48-e25b81ad1472?rule=kijijica-640-jpg,,
Ford,Fiesta,2019,16749,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,81698,,3FADP4EJ8KM108202,https://media.kijiji.ca/api/v1/autos-prod-ads/images/26/263caf41-0ebf-4fe4-9430-520f301e9d65?rule=kijijica-640-jpg,,
Ford,Other,2019,45998,White,,Used,Pickup Truck,Other,Automatic,Gasoline,84232,,1FDXE4FS3KDC42322,https://media.kijiji.ca/api/v1/autos-prod-ads/images/67/6743a4f2-daef-4e41-a1ad-692257f9823b?rule=kijijica-640-jpg,,
Other,Other,2022,24900,Other,,Used,Other,Other,Other,5ZT22CKEC6NY02222,1,,,https://media.kijiji.ca/api/v1/autos-prod-ads/images/63/63d46461-2dcf-4482-9666-71351bfdd839?rule=kijijica-640-jpg,,
Jeep,Cherokee,2022,48400,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,5889,,1C4PJMBX2ND555416,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d1/d1cdae4d-5e15-49b3-8cc6-bc917cccb7a2?rule=kijijica-640-jpg,,
Chevrolet,Suburban,2019,47996,Black,,Used,"SUV, Crossover",Other,Automatic,Other,118749,,1GNSKGKC6KR342965,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ba/ba3e95c5-b331-45a4-a49d-1100db520174?rule=kijijica-640-jpg,,
Ford,GT,2023,55900,Black,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,7793,,1FA6P8CF8P5305849,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c2/c23c0c51-3c9e-401c-935d-1600686ef8ab?rule=kijijica-640-jpg,,
Chevrolet,Equinox,2021,30678,White,,Used,"SUV, Crossover",Other,Gasoline,2GNAXUEV3M6161412,81202,,PA1412,https://media.kijiji.ca/api/v1/autos-prod-ads/images/cc/cc65a393-8188-4d58-8944-de126f22d2fb?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2019,39996,Grey,,Used,Other,Other,Automatic,Other,164654,,1GCUYEED8KZ303674,https://media.kijiji.ca/api/v1/autos-prod-ads/images/42/428d4782-9408-4710-b256-8a145a875d7c?rule=kijijica-640-jpg,,
GMC,Savana,2017,21500,,,Used,,,,,132500,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/0e/0e5d4286-475e-4f81-9489-efa38d070b5b?rule=kijijica-640-jpg,,
Nissan,Sentra,2016,14995,Grey,,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,143073,,3N1AB7AP2GL645753,https://media.kijiji.ca/api/v1/autos-prod-ads/images/54/5467c0dc-9cb4-4c2e-a1cc-d755ed89fb10?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2018,31995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,124203,,3GCUKNEC9JG595648,https://media.kijiji.ca/api/v1/autos-prod-ads/images/88/884120a3-ace4-46b2-8366-6f836955e37e?rule=kijijica-640-jpg,,
Jeep,Grand Cherokee,2021,59877,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4f55ad19-5328-48a9-8cd7-c6607987deb4?rule=kijijica-640-jpg,,
Ram,1500,2018,32093,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,134509,,1C6RR7LT1JS170179,https://media.kijiji.ca/api/v1/autos-prod-ads/images/61/61cb1e3c-d050-4ee2-a01d-af00c45d47b3?rule=kijijica-640-jpg,,
Ram,2500,2015,36900,White,,Used,Other,4 x 4,Automatic,Diesel,204475,,3C6UR5GL9FG704584,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3b/3b9bdbf0-9720-4e80-827c-13f7ca4896b4?rule=kijijica-640-jpg,,
Jeep,Gladiator,2020,43888,Red,,Used,Other,4 x 4,Automatic,Gasoline,78964,,1C6HJTAG6LL104242,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5f/5ff1f33d-598a-4c5e-8d84-2d19da301673?rule=kijijica-640-jpg,,
Mazda,Mazda3 Sport,2014,10994,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,180807,,JM1BM1L79E1189504,http://img.youtube.com/vi/PYl85atKbLM/sddefault.jpg,,
Ford,Explorer,2022,49996,Grey,,Used,"SUV, Crossover",Other,Automatic,Gasoline,43652,,1FMSK8JH5NGB55059,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5d/5ddfb74d-b6c7-4993-8633-cd13670d7161?rule=kijijica-640-jpg,,
Chevrolet,Corvette,2021,109987,Blue,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,6528,,1G1YB2D48M5111077,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fece505-b6f8-46e7-9bf7-27b1a8495f11?rule=kijijica-640-jpg,,
Land Rover,Discovery,2019,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/1b/1b6e6d84-858d-445e-aeb9-19da0889d809?rule=kijijica-640-jpg,,
Porsche,Macan,2015,29990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,145000,,WP1AB2A51FLB41024,https://media.kijiji.ca/api/v1/autos-prod-ads/images/98/983ce46f-58e3-44b7-adb0-c877ea3b0e0e?rule=kijijica-640-jpg,,
Toyota,Highlander,2020,42990,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/83ade1e2-bbeb-43d2-afc1-2d64fc581410?rule=kijijica-640-jpg,,
Toyota,4Runner,2021,54990,"SUV, Crossover",,Used,4 x 4,Automatic,Gasoline,JTEBU5JR4M5934593,29000,,PA4593,https://media.kijiji.ca/api/v1/autos-prod-ads/images/74/748f3b11-70e8-4f95-8ced-ee426680e956?rule=kijijica-640-jpg,,
Chevrolet,Suburban,2017,37900,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,140675,,1GNSKHKCXHR185178,https://media.kijiji.ca/api/v1/autos-prod-ads/images/e5/e5ea65fe-a205-49f2-854e-61a66df2602f?rule=kijijica-640-jpg,,
Ford,Explorer,2017,22900,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,166484,,1FM5K8F87HGA38593,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4c/4cc6398a-b7ba-484c-ac26-867cb61d5e07?rule=kijijica-640-jpg,,
Porsche,911,2019,129790,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,13715,,WP0AA2A90KS104389,https://media.kijiji.ca/api/v1/autos-prod-ads/images/62/629edb7f-233a-4a74-b504-4bab77d20937?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2019,27989,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,58012,,3VV2B7AX6KM082065,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/002e7ee6-3ff9-4049-9a44-ecb004c7f012?rule=kijijica-640-jpg,,
Ford,Escape,2021,31990,Grey,,Used,"SUV, Crossover",Other,Gasoline,1FMCU9H66MUA72149,55334,,PA2149,https://media.kijiji.ca/api/v1/autos-prod-ads/images/06/06107028-3b26-4a6c-a645-6f114fe5f055?rule=kijijica-640-jpg,,
Hyundai,Sonata,2021,27111,White,,Used,Sedan,Other,Gasoline,5NPEG4JA3MH127365,80702,,PA7365,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0f097278-db11-4bd1-a0b6-1fb9eacf96e1?rule=kijijica-640-jpg,,
Audi,A6,2014,23990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,https://media.kijiji.ca/api/v1/autos-prod-ads/images/29/29cc5702-71d1-4b06-bc8a-9da68e3fa3cb?rule=kijijica-640-jpg,,
